Stat,ID,Default
Age,3,0
G,4,1
AB,5,0
PA,6,1
H,7,0
1B,8,0
2B,9,0
3B,10,0
HR,11,1
R,12,1
RBI,13,1
BB,14,0
IBB,15,0
SO,16,0
HBP,17,0
SF,18,0
SH,19,0
GDP,20,0
SB,21,1
CS,22,0
AVG,23,1
GB,24,0
FB,25,0
LD,26,0
IFFB,27,0
Pitches,28,0
Balls,29,0
Strikes,30,0
IFH,31,0
BU,32,0
BUH,33,0
BB%,34,1
K%,35,1
BB/K,36,0
OBP,37,1
SLG,38,1
OPS,39,0
ISO,40,1
BABIP,41,1
GB/FB,42,0
LD%,43,0
GB%,44,0
IFFB%,46,0
HR/FB,47,0
IFH%,48,0
BUH%,49,0
wOBA,50,1
wRAA,51,0
wRC,52,0
Bat,53,0
Fld,54,0
Rep,55,0
Pos,56,0
RAR,57,0
WAR,58,1
Dol,59,0
Spd,60,0
wRC+,61,1
WPA,62,0
WPA-,63,0
WPA+,64,0
RE24,65,0
REW,66,0
pLI,67,0
phLI,68,0
PH,69,0
WPA/LI,70,0
Clutch,71,0
FB%,72,0
FBv,73,0
SL%,74,0
SLv,75,0
CT%,76,0
CTv,77,0
CB%,78,0
CBv,79,0
CH%,80,0
CHv,81,0
SF%,82,0
SFv,83,0
KN%,84,0
KNv,85,0
XX%,86,0
PO%,87,0
wFB,88,0
wSL,89,0
wCT,90,0
wCB,91,0
wCH,92,0
wSF,93,0
wKN,94,0
wFB/C,95,0
wSL/C,96,0
wCT/C,97,0
wCB/C,98,0
wCH/C,99,0
wSF/C,100,0
wKN/C,101,0
O-Swing%,102,0
Z-Swing%,103,0
Swing%,104,0
O-Contact%,105,0
Z-Contact%,106,0
Contact%,107,0
Zone%,108,0
F-Strike%,109,0
SwStr%,110,0
BsR,111,1
FA% (pfx),112,0
FT% (pfx),113,0
FC% (pfx),114,0
FS% (pfx),115,0
FO% (pfx),116,0
SI% (pfx),117,0
SL% (pfx),118,0
CU% (pfx),119,0
KC% (pfx),120,0
EP% (pfx),121,0
CH% (pfx),122,0
SC% (pfx),123,0
KN% (pfx),124,0
UN% (pfx),125,0
vFA (pfx),126,0
vFT (pfx),127,0
vFC (pfx),128,0
vFS (pfx),129,0
vFO (pfx),130,0
vSI (pfx),131,0
vSL (pfx),132,0
vCU (pfx),133,0
vKC (pfx),134,0
vEP (pfx),135,0
vCH (pfx),136,0
vSC (pfx),137,0
vKN (pfx),138,0
FA-X (pfx),139,0
FT-X (pfx),140,0
FC-X (pfx),141,0
FS-X (pfx),142,0
FO-X (pfx),143,0
SI-X (pfx),144,0
SL-X (pfx),145,0
CU-X (pfx),146,0
KC-X (pfx),147,0
EP-X (pfx),148,0
CH-X (pfx),149,0
SC-X (pfx),150,0
KN-X (pfx),151,0
FA-Z (pfx),152,0
FT-Z (pfx),153,0
FC-Z (pfx),154,0
FS-Z (pfx),155,0
FO-Z (pfx),156,0
SI-Z (pfx),157,0
SL-Z (pfx),158,0
CU-Z (pfx),159,0
KC-Z (pfx),160,0
EP-Z (pfx),161,0
CH-Z (pfx),162,0
SC-Z (pfx),163,0
KN-Z (pfx),164,0
wFA (pfx),165,0
wFT (pfx),166,0
wFC (pfx),167,0
wFS (pfx),168,0
wFO (pfx),169,0
wSI (pfx),170,0
wSL (pfx),171,0
wCU (pfx),172,0
wKC (pfx),173,0
wEP (pfx),174,0
wCH (pfx),175,0
wSC (pfx),176,0
wKN (pfx),177,0
wFA/C (pfx),178,0
wFT/C (pfx),179,0
wFC/C (pfx),180,0
wFS/C (pfx),181,0
wFO/C (pfx),182,0
wSI/C (pfx),183,0
wSL/C (pfx),184,0
wCU/C (pfx),185,0
wKC/C (pfx),186,0
wEP/C (pfx),187,0
wCH/C (pfx),188,0
wSC/C (pfx),189,0
wKN/C (pfx),190,0
O-Swing% (pfx),191,0
Z-Swing% (pfx),192,0
Swing% (pfx),193,0
O-Contact% (pfx),194,0
Z-Contact% (pfx),195,0
Contact% (pfx),196,0
Zone% (pfx),197,0
Pace,198,0
Def,199,1
wSB,200,0
UBR,201,0
Age Rng,202,0
Off,203,1
Lg,204,0
wGDP,205,0
Pull%,206,0
Cent%,207,0
Oppo%,208,0
Soft%,209,0
Med%,210,0
Hard%,211,0
