Stat,ID,Default
Age,3,0
G,4,1
AB,5,1
PA,6,1
H,7,1
1B,8,1
2B,9,1
3B,10,1
HR,11,1
R,12,1
RBI,13,1
BB,14,1
IBB,15,1
SO,16,1
HBP,17,1
SF,18,1
SH,19,1
GDP,20,1
SB,21,0
CS,22,0
AVG,23,0
GB,24,0
FB,25,0
LD,26,0
IFFB,27,0
Pitches,28,0
Balls,29,0
Strikes,30,0
IFH,31,0
BU,32,0
BUH,33,0
BB%,34,0
K%,35,0
BB/K,36,0
OBP,37,0
SLG,38,0
OPS,39,0
ISO,40,0
BABIP,41,0
GB/FB,42,0
LD%,43,0
GB%,44,0
FB%,45,0
IFFB%,46,0
HR/FB,47,0
IFH%,48,0
BUH%,49,0
wOBA,50,0
wRAA,51,0
wRC,52,0
Spd,53,0
wRC+,54,0
wSB,55,0
Age Rng,56,0
Bat,57,0
Fld,58,0
Rep,59,0
Pos,60,0
Lg,61,0
Off,62,0
Def,63,0
RAR,64,0
WAR,65,0
Dol,66,0
BsR,67,0
Pull%,68,0
Cent%,69,0
Oppo%,70,0
Soft%,71,0
Med%,72,0
Hard%,73,0
