Stat,ID,Default
G,4,0
GS,5,0
Inn,6,1
PO,7,0
A,8,0
E,9,0
FE,10,0
TE,11,0
DP,12,0
DPS,13,0
DPT,14,0
DPF,15,0
Scp,16,0
SB,17,0
CS,18,0
PB,19,0
WP,20,0
FP,21,0
TZ,22,0
rSB,23,1
rGDP,24,1
rARM,25,1
rGFP,26,1
rPM,27,1
DRS,28,1
BIZ,29,1
Plays,30,1
RZR,31,1
OOZ,32,1
TZL,33,1
FSR,34,1
ARM,35,1
DPR,36,1
RngR,37,0
ErrR,38,0
UZR,39,0
UZR/150,40,0
CPP,41,1
RPP,42,1
Def,43,0
Made 0%,44,0
Plays 0%,45,0
Made 1-10%,46,0
Plays 1-10%,47,0
Made 10-40%,48,0
Plays 10-40%,49,0
Made 40-60%,50,0
Plays 40-60%,51,0
Made 60-90%,52,0
Plays 60-90%,53,0
Made 90-100%,54,0
Plays 90-100%,55,0
