Split,ID
September/October,9
Last 7 Days,1
Shift - Traditional,63
July,7
Past 1 Calendar Years,10
Full Season,0
Past 2 Calendar Years,11
Home,15
Men in Scoring,29
June,6
vs R,14
Last 30 Days,3
vs L,13
Away,16
Past 3 Calendar Years,12
High Leverage,26
2nd Half,31
Men on Base,28
Shift - Non Traditional,64
No Shift,62
1st Half,30
March/April,4
May,5
Bases Empty,27
Live Stats - Today,34
Shift - All,61
Yesterday,32
Live Stats - Full Season,33
Medium Leverage,25
Last 14 Days,2
August,8
Low Leverage,24
