Stat,ID,Default
Age,3,0
W,4,1
L,5,1
ERA,6,1
G,7,1
GS,8,1
CG,9,0
ShO,10,0
SV,11,1
BS,12,0
IP,13,1
TBF,14,0
H,15,0
R,16,0
ER,17,0
HR,18,0
BB,19,0
IBB,20,0
HBP,21,0
WP,22,0
BK,23,0
SO,24,0
GB,25,0
FB,26,0
LD,27,0
IFFB,28,0
Balls,29,0
Strikes,30,0
Pitches,31,0
RS,32,0
IFH,33,0
BU,34,0
BUH,35,0
K/9,36,1
BB/9,37,1
K/BB,38,0
H/9,39,0
HR/9,40,1
AVG,41,0
WHIP,42,0
BABIP,43,1
LOB%,44,1
FIP,45,1
GB/FB,46,0
LD%,47,0
GB%,48,1
IFFB%,50,0
HR/FB,51,1
IFH%,52,0
BUH%,53,0
Starting,54,0
Start-IP,55,0
Relieving,56,0
Relief-IP,57,0
RAR,58,0
WAR,59,1
Dollars,60,0
tERA,61,0
xFIP,62,1
WPA,63,0
WPA-,64,0
WPA+,65,0
RE24,66,0
REW,67,0
pLI,68,0
inLI,69,0
gmLI,70,0
exLI,71,0
Pulls,72,0
WPA/LI,73,0
Clutch,74,0
FB%,75,0
FBv,76,0
SL%,77,0
SLv,78,0
CT%,79,0
CTv,80,0
CB%,81,0
CBv,82,0
CH%,83,0
CHv,84,0
SF%,85,0
SFv,86,0
KN%,87,0
KNv,88,0
XX%,89,0
PO%,90,0
wFB,91,0
wSL,92,0
wCT,93,0
wCB,94,0
wCH,95,0
wSF,96,0
wKN,97,0
wFB/C,98,0
wSL/C,99,0
wCT/C,100,0
wCB/C,101,0
wCH/C,102,0
wSF/C,103,0
wKN/C,104,0
O-Swing%,105,0
Z-Swing%,106,0
Swing%,107,0
O-Contact%,108,0
Z-Contact%,109,0
Contact%,110,0
Zone%,111,0
F-Strike%,112,0
SwStr%,113,0
HLD,114,0
SD,115,0
MD,116,0
ERA-,117,0
FIP-,118,0
xFIP-,119,0
K%,120,0
BB%,121,0
SIERA,122,0
RS/9,123,0
E-F,124,0
FA% (pfx),125,0
FT% (pfx),126,0
FC% (pfx),127,0
FS% (pfx),128,0
FO% (pfx),129,0
SI% (pfx),130,0
SL% (pfx),131,0
CU% (pfx),132,0
KC% (pfx),133,0
EP% (pfx),134,0
CH% (pfx),135,0
SC% (pfx),136,0
KN% (pfx),137,0
UN% (pfx),138,0
vFA (pfx),139,0
vFT (pfx),140,0
vFC (pfx),141,0
vFS (pfx),142,0
vFO (pfx),143,0
vSI (pfx),144,0
vSL (pfx),145,0
vCU (pfx),146,0
vKC (pfx),147,0
vEP (pfx),148,0
vCH (pfx),149,0
vSC (pfx),150,0
vKN (pfx),151,0
FA-X (pfx),152,0
FT-X (pfx),153,0
FC-X (pfx),154,0
FS-X (pfx),155,0
FO-X (pfx),156,0
SI-X (pfx),157,0
SL-X (pfx),158,0
CU-X (pfx),159,0
KC-X (pfx),160,0
EP-X (pfx),161,0
CH-X (pfx),162,0
SC-X (pfx),163,0
KN-X (pfx),164,0
FA-Z (pfx),165,0
FT-Z (pfx),166,0
FC-Z (pfx),167,0
FS-Z (pfx),168,0
FO-Z (pfx),169,0
SI-Z (pfx),170,0
SL-Z (pfx),171,0
CU-Z (pfx),172,0
KC-Z (pfx),173,0
EP-Z (pfx),174,0
CH-Z (pfx),175,0
SC-Z (pfx),176,0
KN-Z (pfx),177,0
wFA (pfx),178,0
wFT (pfx),179,0
wFC (pfx),180,0
wFS (pfx),181,0
wFO (pfx),182,0
wSI (pfx),183,0
wSL (pfx),184,0
wCU (pfx),185,0
wKC (pfx),186,0
wEP (pfx),187,0
wCH (pfx),188,0
wSC (pfx),189,0
wKN (pfx),190,0
wFA/C (pfx),191,0
wFT/C (pfx),192,0
wFC/C (pfx),193,0
wFS/C (pfx),194,0
wFO/C (pfx),195,0
wSI/C (pfx),196,0
wSL/C (pfx),197,0
wCU/C (pfx),198,0
wKC/C (pfx),199,0
wEP/C (pfx),200,0
wCH/C (pfx),201,0
wSC/C (pfx),202,0
wKN/C (pfx),203,0
O-Swing% (pfx),204,0
Z-Swing% (pfx),205,0
Swing% (pfx),206,0
O-Contact% (pfx),207,0
Z-Contact% (pfx),208,0
Contact% (pfx),209,0
Zone% (pfx),210,0
Pace,211,0
RA9-WAR,212,0
BIP-Wins,213,0
LOB-Wins,214,0
FDP-Wins,215,0
Age Rng,216,0
K-BB%,217,0
Pull%,218,0
Cent%,219,0
Oppo%,220,0
Soft%,221,0
Med%,222,0
Hard%,223,0
kwERA,224,0
