Stat,ID,Default
Age,3,0
IP,4,1
ERA,5,1
TBF,6,1
H,7,1
R,8,1
ER,9,1
HR,10,1
BB,11,1
IBB,12,1
HBP,13,1
SO,14,1
GB,15,0
FB,16,0
LD,17,0
IFFB,18,0
Balls,19,0
Strikes,20,0
Pitches,21,0
IFH,22,0
BU,23,0
BUH,24,0
K/9,25,0
BB/9,26,0
K/BB,27,0
H/9,28,0
HR/9,29,0
AVG,30,1
WHIP,31,0
BABIP,32,0
LOB%,33,0
FIP,34,0
GB/FB,35,0
LD%,36,0
GB%,37,0
FB%,38,0
IFFB%,39,0
HR/FB,40,0
IFH%,41,0
BUH%,42,0
xFIP,43,0
K%,44,0
BB%,45,0
E-F,46,0
wOBA,47,1
OBP,48,1
SLG,49,1
wSB,50,0
Age Rng,51,0
K-BB%,52,0
Pull%,53,0
Cent%,54,0
Oppo%,55,0
Soft%,56,0
Med%,57,0
Hard%,58,0
kwERA,59,0
